DISEASE,SEXVAR,GENHLTH,PHYSHLTH,MENTHLTH,POORHLTH,PERSDOC3,MEDCOST1,CHECKUP1,EXERANY2,EXRACT12,EXEROFT1,EXERHMM1,EXRACT22,EXEROFT2,EXERHMM2,STRENGTH,MARITAL,EDUCA,RENTHOM1,EMPLOY1,WEIGHT2,HEIGHT3,DEAF,BLIND,DECIDE,DIFFWALK,DIFFDRES,DIFFALON,SMOKE100,SMOKDAY2,USENOW3,ECIGNOW2,ALCDAY4,AVEDRNK3,DRNK3GE5,COVIDPO1,COVIDSM1,COVIDACT
BPHIGH6,0.04361446482735604,0.06604051554906672,0.00020222104379384365,0.011865962997476127,0.008000059146552108,0.009225020820286842,0.0,0.0209650357429294,0.0,0.007434252878229371,0.001198420816809924,0.00716799972219553,0.0073270306778296275,0.0023918162569597366,0.00180688079165778,0.00033073096588176503,0.047743057391574806,0.004968970095253394,0.009098980560188302,0.05532445412781167,0.07927927449847859,0.03229237142000252,0.0027625021604100533,0.0027378048825699676,0.0,0.011589343078831959,0.00024820261259783297,1.690932002728901e-05,0.005645750148203466,0.00010149605756600581,7.333045741312672e-05,0.02476275085115761,0.006908096704464376,0.0015497678971132254,0.0009621093165057948,0.003854668102133402,0.00017014686613195883,5.2082589756145e-05
TOLDHI3,0.03218734314086457,0.04376878635095669,0.005781969011812036,0.0019638899803505303,0.0005333019438852884,0.007914231247756781,0.00032383299534200757,0.02039703360959875,0.0,0.004240108036519492,0.0009908118116281979,0.0009900846551539938,0.004397632142784841,0.003508630150128094,0.00046421491224396284,0.00803041853048635,0.02168715951673304,0.0059581055008635165,0.011326953349165855,0.05444795149502871,0.037526595818692735,0.03994781701840273,0.00524322168113445,0.0008171698386329592,0.00019399131008738645,0.0009305164596101692,0.0,0.0006481863052268098,0.01962708132258749,0.0004034644376667005,0.0005437378220380768,0.027014912605367224,0.0011757227969166784,0.0006117645343539509,0.001246911849953179,4.432235727531909e-05,4.556110109624908e-05,0.0
CVDINFR4,0.0005088959168337868,0.0015645148507067034,0.00011107555957309159,0.000769063664750467,0.0002998725894862194,5.8160836736713186e-05,0.0,0.0002593454516188193,9.190640724732326e-07,0.0003568902856191132,9.866075463629675e-05,1.9343243669179243e-05,0.00042042792037378355,0.0015301374735708503,0.032350093883014,0.0008635339029475496,0.00025939047655548065,4.910409823464507e-06,4.019566500555759e-07,0.004677265637487246,0.0021088940517120015,0.0015329078193451568,6.736974910085381e-06,5.001931482647838e-07,0.0,8.076114406506607e-06,0.0,0.0,0.00028135650473227954,0.0,0.0,4.0654439030533174e-07,0.0014775014405831054,9.776737627340306e-05,7.056499282093102e-06,0.0,0.0,0.0
CVDCRHD4,0.009408396204084747,0.063556648282737,0.05263422698544752,0.03031937240643647,0.0040997519568371985,0.00336411847511709,0.0,0.003081145844836349,0.0,0.004068182029606536,0.04728737179753341,0.1794906985752374,0.04274256730880877,0.006910679737971276,0.050075459320346564,0.08649103697481705,0.011710840634613336,3.335029343798745e-05,9.55159035132545e-05,0.15521730840476036,0.02405033605960588,0.0063358506909138995,0.00016136631303265928,4.322182630120186e-06,5.847363217696181e-05,0.0012279942100768423,0.0,0.0,0.002228549907037533,2.0190581193776714e-05,0.0,0.0007135486790378953,0.0736558395173661,8.087766210097189e-05,0.0005546876942985759,2.824261708379849e-06,0.0,0.0
CVDSTRK3,1.0395106143094037e-05,0.0017751812138071732,0.009552872349234208,0.0005390825626405089,0.003893049460131201,1.4054382280368273e-07,0.0,0.00027120883192085674,7.1544094326126e-06,0.0002461911337523246,0.0006627262535978962,0.019361477973576326,0.0012516533246684943,0.0003577948366083978,0.012199356477375925,0.0007946164406557259,2.830943387526727e-05,2.419315784578076e-07,8.480521605571683e-05,0.004604380066490367,0.006202336845548535,0.003967256513272626,2.2796882694777206e-05,0.0,0.0,0.0001960476954164169,1.0748070334376674e-05,0.0,2.1112065266431974e-06,0.0,2.1754129332561887e-06,0.00023671126155113447,0.0024549172706347724,0.00027689773930962715,0.0001459468587764111,0.0,0.0,1.107232177147367e-05
ASTHMA3,0.02917941220402907,0.023220724884494424,0.03452047063815044,0.0271966493641427,0.013357137617471492,0.010329500928884258,0.0006916729268589316,0.0011738674274645424,0.0,0.0009063237385904023,1.4323781272208979e-05,0.00013725171421537675,0.0,2.7903623374334904e-06,1.3775900308445333e-06,6.801446571411288e-05,0.0057094334561669565,0.008052663007103401,0.004909177279024041,0.00526182608641819,0.020991079408894643,0.021675151240616627,0.0010870415000904833,0.0002504134321407072,0.005080274873585384,0.0015579889279369872,0.0,3.393818741999236e-06,0.00010146675594120843,4.6659893010015776e-05,0.0,0.0028931139005907215,6.401848536220653e-05,0.0003038805215054776,4.2163159213633105e-05,0.007144121816261811,0.0040335605775413804,0.0002449175014575386
CHCSCNC1,0.000726230218620977,0.004314297501292709,0.0015938218175801705,0.013665920316672691,0.0010328683728621382,0.024862283062015985,0.0032930829493913044,0.010570183973602978,8.74821098048502e-06,0.019709611592737784,0.0024952198609582608,0.004302843263595943,0.0015837727916499277,0.010743688829935273,0.0021297953139498985,0.0013099707804040985,0.03435656230579306,0.012676146199881253,0.01924827954792692,0.08542410731924639,0.03172738766690077,0.018322800337240354,0.007038281375975628,0.00011556500787555455,7.732436951934734e-06,0.005404867009667712,9.296262618431615e-05,0.0007607375782734343,0.006933330984262261,0.004518322631550001,0.0005088223881522245,0.05008969539192776,0.014662001789332314,0.0054935092258998315,0.020303988011864456,0.00020844501435208948,0.000892311007150163,2.331611330430202e-05
CHCOCNC1,0.0017669234946744844,0.04619206815668321,0.009837965529231609,0.013535567562408117,0.0005127342160784433,0.04155510475962669,0.0019451050418494416,0.015114018415757099,0.0,0.00572674613357199,0.0055600741111927225,0.0011618533327846048,0.0034149179274696306,0.0009275842075102686,0.002543876419646398,0.00029996840022797176,0.02629942919506283,0.01010859800643727,0.02440613415842134,0.0752740733094491,0.012145658478441748,0.007226289288092105,0.007089591166428095,6.867499188315874e-05,0.00015184743691167542,0.00398703485940126,0.0,1.1943273505274688e-05,0.012769001005176018,0.0015527854077134345,0.001486329974555857,0.020464205517640787,0.00787821738830044,0.009583217348845598,0.008427429588632851,2.485576722640293e-05,0.0007475298594087069,0.0003850116959067949
CHCCOPD3,0.0,0.020442286086690218,0.10451217518732667,0.0025076343567933274,0.0016198159566576714,4.930452872108357e-05,0.0,0.0007883014079751855,1.6310360436468552e-05,0.0025549603666418356,0.04085065700901322,0.08072329307394448,0.00015003654415423774,0.029751658559252332,0.04039488906001516,0.013231127175231642,0.0022620488390162094,0.0007170265049491814,2.1851699388536622e-05,0.05394419971470296,0.03170481100714686,0.015240363798199683,0.0006023428941864104,8.74847297967945e-05,9.806940944571426e-05,0.0001126934447140478,0.0,0.0,0.006967469618371853,0.0010037320705303073,0.0,2.2956302205987365e-05,0.019222957834099254,0.0014419366343149142,0.0001119543993598496,0.0,0.0,0.0
ADDEPEV3,0.055104580567951505,0.010030795574896615,0.012693083137832718,0.18489508508131092,0.05635400576702893,0.006155791577152922,0.0017369210638750526,0.006698867085222095,0.0,0.0010182991539917207,0.0016116356848008013,0.0020304284286895,0.0005166559224238809,0.0006984383418164555,0.0009093251629853237,0.009056142862993359,0.035257776975165675,0.025236312779030885,0.001446858170095691,0.008320503737147916,0.03173354218536174,0.0034528271516597524,0.0029465614852317123,3.119024277603785e-05,0.015896363534813027,0.0007099626580901245,2.9851603861830493e-05,0.004054859019582756,0.010978146862253393,0.0007744517060000366,0.00022056961208520215,0.053039385313099374,0.0020423359886803613,0.002824290675381237,0.00024060972405515096,0.0043924127129658635,2.3018138218875373e-05,0.00016874635365026549
