disease,train_accuracy,train_precision,train_recall,train_f1,train_loss,train_roc,test_accuracy,test_precision,test_recall,test_f1,test_loss,test_roc,n_neighbors,weights
BPHIGH6,0.9999433565301828,1.0,0.9998715761278368,0.9999357839404809,2.8321734908561254e-05,0.9999999934926302,0.6470949991908076,0.6205096443107415,0.5146400528362809,0.5626378916121786,0.21979086390080138,0.6913849590972859,50,distance
TOLDHI3,0.9999514484544425,1.0,0.999886965204122,0.9999434794076641,2.427577277876679e-05,0.9999999951899405,0.5901925877973783,0.5359122538035146,0.3424265259984928,0.41785829233527977,0.2379878613487791,0.6023751928041174,50,distance
CVDINFR4,0.9999919080757405,1.0,0.9998598065330155,0.9999298983526113,4.045962129794465e-06,0.9999999993980374,0.9422560284835734,0.0,0.0,0.0,0.0530164535407315,0.6935204852953847,50,distance
CVDCRHD4,0.9999838161514808,1.0,0.9997392438070404,0.9998696049028557,8.09192425958893e-06,0.9999999977503564,0.9380158601715488,1.0,0.0010432968179447052,0.0020844189682126106,0.05649593753336188,0.6854449112961883,50,distance
CVDSTRK3,1.0,1.0,1.0,1.0,0.0,1.0,0.9552031072989157,0.0,0.0,0.0,0.04172435887423261,0.6892451263620696,50,distance
ASTHMA3,0.9999838161514808,1.0,0.9998929221544063,0.9999464582106334,8.09192425958893e-06,0.9999999989792584,0.8489399579219938,0.5263157894736842,0.004283572499464553,0.008497981729339282,0.12601143221776745,0.6015039796831982,50,distance
CHCSCNC1,0.999959540378702,1.0,0.9995688911881359,0.9997843991203484,2.0229810648972326e-05,0.9999999903754887,0.9061984139828452,1.0,0.000689655172413793,0.0013783597518952446,0.08451372210892036,0.6067648040598383,50,distance
CHCOCNC1,0.9999919080757405,1.0,0.9999378804820475,0.9999689392762852,4.045962129794465e-06,0.9999999997110236,0.8698171225117333,0.7142857142857143,0.0012422360248447205,0.00248015873015873,0.11085658081239873,0.6264265488075782,100,distance
CHCCOPD3,1.0,1.0,1.0,1.0,0.0,1.0,0.9161676646706587,0.4444444444444444,0.001544998068752414,0.003079291762894534,0.07069709952195367,0.7460341265216746,50,distance
ADDEPEV3,0.9999838161514808,1.0,0.9999257554384141,0.9999628763410922,8.09192425958893e-06,0.9999999992317569,0.8118142094189998,0.6694884063305115,0.2700816629547142,0.38489208633093525,0.14077829841765352,0.7450137938366839,50,distance
CHCKDNY2,0.9999919080757405,1.0,0.9998493522145224,0.999924670433145,4.045962129794465e-06,0.9999999993558868,0.9464314614015212,1.0,0.0030120481927710845,0.006006006006006006,0.04958759836521464,0.6935706602706363,50,distance
HAVARTH4,0.9999514484544425,1.0,0.999866539137398,0.9999332651154513,2.427577277876679e-05,0.9999999949075641,0.6856772940605276,0.626114229118521,0.33748554141827564,0.43857316297623866,0.20572463422269335,0.6933929618443365,50,distance
DIABETE4,0.9999676323029616,1.0,0.9997926386728875,0.9998963085856492,1.618384851917786e-05,0.9999999960233709,0.84330797863732,0.48034934497816595,0.04561476259589467,0.08331755349365651,0.11978619795460478,0.7250295589680139,50,distance
