disease,train_accuracy,train_precision,train_recall,train_f1,train_loss,train_roc,test_accuracy,test_precision,test_recall,test_f1,test_loss,test_roc,C
BPHIGH6,0.6884285483087879,0.6357682192245694,0.6874162951547508,0.6605842633239893,0.20252599415388248,0.7528645437107971,0.6886874898850947,0.6353751603971095,0.690394070595142,0.6617429837518464,0.20328286499160184,0.7514830626133489,0.3
TOLDHI3,0.628305551060042,0.5578507713975814,0.6491776718599875,0.6000592066311426,0.22673224150829832,0.6756546296429333,0.6243405081728435,0.5538302277432712,0.6450640542577242,0.5959757710784656,0.22812463045361372,0.6704513866397301,1.0
CVDINFR4,0.7292361223498948,0.14204916249728083,0.7323706715267069,0.23794666241545012,0.18409811626425707,0.801844546539086,0.7292442142741544,0.14421621621621622,0.7481772293886708,0.24181999456176922,0.18442286730557286,0.804677261677376,1.0
CVDCRHD4,0.7324162485839133,0.15395934383345142,0.7366362451108214,0.25468806346916695,0.18160513020998864,0.8096447002839162,0.7348114581647516,0.15689919090312704,0.748565466875326,0.2594233029015638,0.1810108806850794,0.8119585656566115,10.0
CVDSTRK3,0.7263553973134812,0.10849644251266576,0.708167690639682,0.1881646861121114,0.1894084369931704,0.78675704425001,0.7273668878459297,0.10940967598757212,0.7129428778018799,0.1897065897065897,0.1882337742301217,0.7866119927783581,0.1
ASTHMA3,0.6594918271564978,0.23360805026864584,0.5493628868187173,0.32781700265167246,0.2288549958945598,0.6576287277412803,0.6631817446188704,0.23863325740318905,0.5609338188048832,0.3348248529787778,0.22803954118666278,0.6659478705919453,1.0
CHCSCNC1,0.6482926039812268,0.16745283018867924,0.6917571995171581,0.26963535540245337,0.215877165613197,0.7226371165556567,0.6476128823434213,0.16756846749354865,0.6941379310344827,0.2699658016495675,0.21677869731399313,0.7213125496548028,0.3
CHCOCNC1,0.6449506392620165,0.22106637212571542,0.6838116536215679,0.33411743280773376,0.21725983192243042,0.7149901451888754,0.643858229486972,0.220253367543297,0.6824844720496894,0.33303024792386493,0.21773500457793218,0.7092432022597878,0.1
CHCCOPD3,0.7674461887036738,0.23293919409662706,0.7743867104500676,0.3581462869905081,0.161084386429683,0.8433062277277237,0.7733937530344716,0.2386255924170616,0.7779065276168404,0.36521896817481186,0.1581421354713307,0.8500142199753359,0.1
ADDEPEV3,0.7849490208771646,0.5053091634401032,0.6395055312198381,0.5645420285105686,0.17061267020756274,0.8089409875642795,0.7830069590548633,0.5018228860402211,0.6335560504825538,0.5600472502953143,0.17229728003866754,0.8031586503242427,0.1
CHCKDNY2,0.7219129308949668,0.1278320627080425,0.7173847544441097,0.21699703804966963,0.18956332163241052,0.7868591654706815,0.7196310082537627,0.12802804929876754,0.7259036144578314,0.21766618497109827,0.19155392223454562,0.7864358099406347,3.0
HAVARTH4,0.7070318821815827,0.5841506095919388,0.6756901038770381,0.6265947462329439,0.194661160784114,0.7704855989942831,0.705097912283541,0.5815575655373294,0.6750600587240858,0.6248301420630018,0.19556208509799303,0.7687366760238012,0.1
DIABETE4,0.7105761450072827,0.31560688466617426,0.7310005184033178,0.4408697963075865,0.1899988015458816,0.7911193922756266,0.7133516750283218,0.3178574654502755,0.7296288617043334,0.44280860702151753,0.18781710669859042,0.7937158241580105,0.1
