disease , train_accuracy    , train_precision    , train_recall      , train_f1           , train_loss         , train_roc         , test_accuracy     , test_precision     , test_recall       , test_f1            , test_loss          , test_roc          , n_estimators, max_depth, learning_rate
BPHIGH6 , 0.7099935264605923, 0.6493248864145389 , 0.7446383033371861, 0.6937230269623552 , 0.18986324965953827, 0.7839467771192872, 0.6992069914225603, 0.6374302384576357 , 0.7375798047992955, 0.6838577989453989 , 0.19601890444755554, 0.7691085215399757,          300,         4,          0.1
TOLDHI3 , 0.6504207800614986, 0.5740252345131417 , 0.7216706542830769, 0.6394357968534824 , 0.2143016904592514 , 0.7183767420768677, 0.6334681987376598, 0.5581450938209633 , 0.7038432554634514, 0.6225836555125983 , 0.22288626432418823, 0.6875237997509446,          500,         5,          0.03
CVDINFR4, 0.8395776015536495, 0.2566717791411043 , 0.9384550679938315, 0.40309517357661157, 0.10886182636022568, 0.9546257397687877, 0.7995144845444246, 0.15853847344790215, 0.5743129556926528, 0.24848337782091726, 0.13057349622249603, 0.7879903779658793,          500,        10,          0.01
CVDCRHD4, 0.8558019096941253, 0.29499919211504283, 0.9521512385919165, 0.4504410041324863 , 0.09673500061035156, 0.966296098994218 , 0.8117171063278847, 0.18022302394227616, 0.5732916014606155, 0.274235807860262  , 0.12246286869049072, 0.7967445704587723,          300,        10,          0.03
CVDSTRK3, 0.8009386632141123, 0.17077635032463048, 0.8935670401156487, 0.2867497825456654 , 0.12868650257587433, 0.9254063713262385, 0.7780223337109564, 0.11878568444506336, 0.6167751265365148, 0.19920597851471275, 0.14301295578479767, 0.7637250197818963,          100,         8,          0.1
ASTHMA3 , 0.6592005178831526, 0.24055789240646447, 0.5817539351108255, 0.34037088084199973, 0.22485852241516113, 0.6757342632420856, 0.6599449749150348, 0.2409232134931203 , 0.5812807881773399, 0.34065520271118366, 0.22496099770069122, 0.6774066883608887,          300,         3,          0.03
CHCSCNC1, 0.7138938339537142, 0.22486509021006554, 0.8371270908777375, 0.3545047923322684 , 0.17413783073425293, 0.8509749298141365, 0.6815989642336948, 0.1744109640476861 , 0.6406896551724138, 0.27418283774810004, 0.1905139535665512 , 0.7259949005672196,          300,         8,          0.03
CHCOCNC1, 0.6544748341155526, 0.23975738603013108, 0.7612125729904335, 0.36465896917033686, 0.2019045650959015 , 0.7682174097891867, 0.6394562226897557, 0.2219790526809442 , 0.7055900621118012, 0.3377133004340329 , 0.20813675224781036, 0.724295801963445 ,          500,         5,          0.03
CHCCOPD3, 0.883759508011005 , 0.4141150271936962 , 0.9339385744639753, 0.5738021065123868 , 0.08551599830389023, 0.9662723139961809, 0.837675999352646 , 0.287714385719286  , 0.6349942062572422, 0.39600144526074915, 0.11511752754449844, 0.8318590735355165,          300,        10,          0.03
ADDEPEV3, 0.7895290500080919, 0.511616262767875  , 0.7586309302843567, 0.6111061272091146 , 0.14922219514846802, 0.8603893629279921, 0.7705453956950963, 0.4823035392921416 , 0.7162583518930957, 0.5764473920057358 , 0.16203813254833221, 0.8249611412656037,          500,         6,          0.03
CHCKDNY2, 0.8164508820197443, 0.2137377341659233 , 0.9023802350105453, 0.3456134783486715 , 0.12399966269731522, 0.9332909713783946, 0.7834924745104386, 0.14124696818376373, 0.5963855421686747, 0.22840004614142345, 0.14252935349941254, 0.7708195841343826,          150,        10,          0.03
HAVARTH4, 0.7172115229001457, 0.5903560080878105 , 0.727383944658229 , 0.6517454085242503 , 0.18520289659500122, 0.7952274708378823, 0.7092086098074122, 0.5810976048334892 , 0.718836195391049 , 0.6426696364648795 , 0.18905921280384064, 0.7860878115237935,          150,         4,          0.1
DIABETE4, 0.7318579058100017, 0.3492892749080302 , 0.8318299637117678, 0.4919897591562035 , 0.16875262558460236, 0.8484634359636698, 0.7128661595727463, 0.32104332449160033, 0.7528509226622434, 0.4501332672162648 , 0.1781807541847229 , 0.8014041937295829,          500,         8,          0.01
