disease,factor
BPHIGH6,WEIGHT2
TOLDHI3,EMPLOY1
CVDINFR4,EXERHMM2
CVDCRHD4,EXERHMM1
CVDSTRK3,EXERHMM1
ASTHMA3,SEXVAR
CHCSCNC1,EMPLOY1
CHCOCNC1,EMPLOY1
CHCCOPD3,EXERHMM1
ADDEPEV3,MENTHLTH
CHCKDNY2,EMPLOY1
HAVARTH4,EMPLOY1
DIABETE4,WEIGHT2
BPHIGH6,EMPLOY1
TOLDHI3,HEIGHT3
CVDINFR4,EMPLOY1
CVDCRHD4,EMPLOY1
CVDSTRK3,EXERHMM2
ASTHMA3,MENTHLTH
CHCSCNC1,ECIGNOW2
CHCOCNC1,PERSDOC3
CHCCOPD3,EMPLOY1
ADDEPEV3,SEXVAR
CHCKDNY2,HEIGHT3
HAVARTH4,DIFFWALK
DIABETE4,ALCDAY4
BPHIGH6,MARITAL
TOLDHI3,WEIGHT2
CVDINFR4,WEIGHT2
CVDCRHD4,STRENGTH
CVDSTRK3,WEIGHT2
ASTHMA3,HEIGHT3
CHCSCNC1,MARITAL
CHCOCNC1,MARITAL
CHCCOPD3,EXEROFT1
ADDEPEV3,ECIGNOW2
CHCKDNY2,EXEROFT2
HAVARTH4,MARITAL
DIABETE4,EMPLOY1
