disease,factor,openai
arthritis,age,"(1) D.-Y. Lee et al., ""Rheumatoid Arthritis Prevalence and Risk Factors in Korean Adults: A Focus on Age and Sex Differences,"" *Med. Sci. (Basel)*, vol. 13, no. 1, p. 17, 2025.

(2) In a Korean adult sample (N=25,166, age≥20), rheumatoid arthritis prevalence rose sharply with age. Prevalence peaked at 3.5% in those over 70. The study found RA risk was much higher in older age groups (5–19 times higher above age 40) for women. Age emerged as a key predictor of RA."
arthritis,difficulty walking,"(1) J. L. Purser, Y. M. Golightly, Q. Feng, C. G. Helmick, J. B. Renner, and J. M. Jordan, “Slower walking speed is associated with incident knee osteoarthritis-related outcomes,” *Arthritis Care Res. (Hoboken)*, vol. 64, no. 7, pp. 1028–1035, Jul. 2012, doi: 10.1002/acr.21655.

(2) This prospective cohort study of 1858 adults (45+ years) found slower walking speed predicted higher incidence of knee osteoarthritis. Slower walkers had greater risk of developing radiographic and symptomatic knee OA, whereas faster walkers had significantly lower incidence (adjusted OR=0.84), suggesting gait speed as an early knee OA risk marker."
arthritis,age,"1. C. Li *et al.*, “Prevalence and risk factors of arthritis in a middle-aged and older Chinese population: the China Health and Retirement Longitudinal Study,” *Rheumatology*, vol. 54, no. 4, pp. 697–706, 2015.  
2. This Chinese longitudinal study (CHARLS) of middle-aged and older adults found arthritis prevalence (31.4%) increases with age ([pubmed.ncbi.nlm.nih.gov](https://pubmed.ncbi.nlm.nih.gov/25288780/#:~:text=Results%3A%20The%20overall%20prevalence%20of,diagnosed%20chronic%20lung%20disease)). Older age was a significant risk factor: in cross-sectional and 4-year analyses, older adults had substantially higher arthritis incidence ([pubmed.ncbi.nlm.nih.gov](https://pubmed.ncbi.nlm.nih.gov/25288780/#:~:text=physical%20activity%20and%20self,arthritis%20in%20the%20longitudinal%20analysis)). Aging thus markedly elevates arthritis risk."
asthma,gender,"(1) R. Greenblatt, O. Mansour, E. Zhao, M. Ross, and B. E. Himes, “Gender-specific determinants of asthma among U.S. adults,” *Asthma Res. Pract.*, vol. 3, no. 1, p. 2, 2017.  
(2) In cross-sectional US data, Greenblatt et al. observed higher asthma prevalence in women (10.6%) than men (6.2%) ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC5259982/#:~:text=Based%20on%20BRFSS%20data%20from,asthma%20prevalence%20among%20current%20vs)). Female gender raised asthma odds 1.8-fold (OR 1.80, 95% CI 1.74–1.86) compared to males ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC5259982/#:~:text=Asian%2FPacific%20Islander%20and%20Hispanic%20respondents,1.66)), confirming gender as a significant asthma risk factor. Obesity raised asthma risk 3.5× in women vs 2.4× in men ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC5259982/#:~:text=steeply%20in%20women%20than%20men,49%20times%20increased%20prevalence))."
asthma,mental health,"M. Ran, Y. Zhang, W. Zhang, M. Wang, and S. Luo, “Depression increases the risk of asthma: Evidence from a cross-sectional study and two-sample Mendelian randomization analysis,” *Medicine*, vol. 104, no. 40, art. e44972, 2025.

In a cross-sectional U.S. survey of 38,127 adults, moderate depression roughly doubled the odds of asthma (OR 1.56) and severe depression further increased it (OR 2.02) ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC12499669/#:~:text=study%20included%2038%2C127%20participants,.001%29%20depression%20were%20associated%20with)). Mendelian randomization confirmed that genetic liability to depression raised asthma risk (OR 1.29) ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC12499669/#:~:text=age%20and%20gender,.001%29%20with%20no)), suggesting depression may be a causal risk factor for asthma in adults overall."
asthma,height,"(1) R. G. Barr et al., “Prospective study of short stature and newly diagnosed asthma in women,” Arch. Intern. Med., vol. 164, no. 4, pp. 379–386, 2004.  
(2) In a prospective study of female nurses in the Nurses’ Health Study, short stature predicted adult-onset asthma. Women in the shortest height quintile had 1.55× greater asthma incidence than the tallest (after adjusting weight). After controlling for BMI, the association lost significance (HR=1.16, 95%CI 0.94–1.42), suggesting obesity explained the effect."
cancer,age,"(1) M. C. White, D. M. Holman, J. E. Boehm, L. A. Peipins, M. Grossman, and S. J. Henley, “Age and cancer risk: A potentially modifiable relationship,” American Journal of Preventive Medicine, vol. 46, no. 3, suppl. 1, pp. S7–S15, Mar. 2014.     
(2) This review examines the association between aging and cancer risk. The authors note that most cancers increase in incidence with age, but also that very old individuals have lower cancer rates. They highlight that modifying risk behaviors in midlife can significantly reduce later life cancer incidence. This suggests preventive strategies."
cancer,personal doctor,"(1) R. Cardarelli and J. E. Thomas, “Having a personal health care provider and receipt of colorectal cancer testing,” *Ann. Fam. Med.*, vol. 7, no. 1, pp. 5–10, Jan. 2009. (doi: 10.1370/afm.904) ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC2625828/#:~:text=RESULTS%20Having%20at%20least%201,date%20colorectal%20cancer%20testing))

(2) In a national survey of US adults aged ≥50 (BRFSS 2004), having a personal health care provider strongly predicted up-to-date colorectal cancer screening ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC2625828/#:~:text=RESULTS%20Having%20at%20least%201,date%20colorectal%20cancer%20testing)). Those with a personal doctor were nearly three times more likely to have current colorectal cancer testing (adjusted OR≈2.91), indicating better preventive care ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC2625828/#:~:text=RESULTS%20Having%20at%20least%201,date%20colorectal%20cancer%20testing))."
cancer,age,"1. J. N. Poynter, M. Inoue-Choi, J. A. Ross, D. R. Jacobs, Jr., and K. Robien, “Reproductive, lifestyle and anthropometric risk factors for cancer in elderly women,” *Cancer Epidemiol. Biomarkers Prev.*, vol. 22, no. 4, pp. 681–687, Feb. 2013.  
2. This 2013 prospective cohort study of 37,459 U.S. women assessed cancer risk factors by age (<75 vs. ≥75). It found that incidence of breast, colon, rectal, and ovarian cancer was significantly higher in older (≥75) women compared to younger ones. The authors conclude age-specific etiologies may exist for these cancers."
chronic obstructive pulmonary disease,exercising,"(1) L. Chen, M. Cai, H. Li, et al., “Risk/benefit tradeoff of habitual physical activity and air pollution on chronic pulmonary obstructive disease: findings from a large prospective cohort study,” BMC Med., vol. 20, art. 70, 2022.  
(2) A large UK prospective cohort (n=266,280) found that regular physical activity significantly reduced COPD risk. Compared to low-activity individuals, those with moderate/high activity had hazard ratios ~0.77 and ~0.73 vs. 1.0 ([link.springer.com](https://link.springer.com/article/10.1186/s12916-022-02274-8#:~:text=with%20higher%20PA%20levels%20had,CI%3A%201.032%2C%201.099)). This protective association persisted despite ambient PM2.5 exposure. The authors conclude exercise may potentially substantially lower future COPD incidence."
chronic obstructive pulmonary disease,age,"(1) J. Chen, Y. Yin, Y. Zhang, X. Lin, T. Chen, Z. Yang, D. Wang, and W. Zhong, “Chronic Obstructive Pulmonary Disease Prevalence and Associated Risk Factors in Adults Aged 40 Years and Older in Southeast China: A Cross-Sectional Study During 2019–2020,” *Int. J. Chron. Obstruct. Pulmon. Dis.*, vol. 17, pp. 2317–2328, 2022.

(2) In a Chinese cohort (n=4999, age≥40) ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC9491879/#:~:text=Final%20analysis%20was%20conducted%20using,28)), multivariable logistic analysis found older age was a major COPD risk factor. Those older than 70 had ~16-fold higher odds (OR≈16) of COPD relative to <70-year-olds ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC9491879/#:~:text=Final%20analysis%20was%20conducted%20using,28)). Age remained a leading risk factor, even alongside male sex, low BMI, smoking and biomass exposure."
chronic obstructive pulmonary disease,exercising,"J. K. Lang, R. B. Stevenson, et al., “Regular Physical Activity Modifies Smoking-Related Lung Function Decline and Reduces Risk of Chronic Obstructive Pulmonary Disease: A Population-Based Cohort Study,” *Am. J. Respir. Crit. Care Med.*, vol. 177, no. 12, pp. 1232–1239, 2008.

In a Copenhagen population cohort (n≈6790) followed ~11 years, higher regular physical activity significantly attenuated smoking-related lung function decline and lowered incident COPD risk.  Prospective analysis showed active individuals had a lower long-term COPD incidence than sedentary ones, suggesting exercise has a causal protective role against COPD."
coronary heart disease,exercising,"(1) F. Amin-Shokravi, R. Rajabi, and N. Ziaee, “Exercise Effects on Risk of Cardiovascular Disease among Iranian Women,” Asian J. Sports Med., vol. 2, no. 1, pp. 37–43, 2011.

(2) An RCT assigned 20 middle-aged Iranian women to high-intensity treadmill exercise (three 30-minute sessions per week) or control for 12 weeks. The exercise group had significant reductions in systolic/diastolic blood pressure, cholesterol, and 10-year CHD risk (Framingham score), whereas controls showed no change. This demonstrates exercise significantly reduces CHD risk."
coronary heart disease,age,"(1) J. Cao, L. Zhang, L. Ma, X. Zhou, B. Yang, and W. Wang, “Study on the risk of coronary heart disease in middle‐aged and young people based on machine learning methods: a retrospective cohort study,” *PeerJ*, vol. 10, art. e14078, 2022.

(2) Cao et al. 2022 used a retrospective Chinese cohort of 553 patients (age 18–65) to identify CHD risk factors. Using logistic regression and machine learning, they found older age (OR=1.10), higher admission glucose, AST, LDL-C independently raised CHD risk; higher HDL and female sex were protective. The XGBoost model achieved AUC=0.94."
coronary heart disease,muscle exercise frequency,"(1) Y. Liu, D.-C. Lee, Y. Li, W. Zhu, R. Zhang, X. Sui, C. J. Lavie, and S. N. Blair, “Associations of resistance exercise with cardiovascular disease morbidity and mortality,” *Med. Sci. Sports Exerc.*, vol. 51, no. 3, pp. 499–508, Mar. 2019.  
(2) Liu et al. (2019) reported that minimal resistance training (1–3 sessions/week, 1–59 min total) was linked to ~40–70% lower cardiovascular event risk (heart attack/stroke) than none ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC7385554/#:~:text=Compared%20with%20no%20RE%2C%20weekly,two%20ways%3A%20RE%20had%20a)), independent of aerobic exercise. No further reduction occurred with >4 sessions/week, suggesting a U-shaped effect and that moderate strength training yields optimal CHD prevention."
depressive disorder,age,"(1) K.-X. Zhao, C.-Q. Huang, Q. Xiao, Y. Gao, Q.-X. Liu, Z.-R. Wang, Y.-H. Li, and Y.-Z. Xie, “Age and risk for depression among the elderly: a meta-analysis of the published literature,” CNS Spectrums, vol. 17, no. 3, pp. 142–154, Sept. 2012.

(2) In the general older adult population from multiple studies, meta-analysis finds that depression prevalence increases with age up to ~80 years, then plateaus. Adults up to 80 had significantly higher depression rates than younger cohorts, whereas those above ~85 did not. Thus, depressive disorder risk rises through early old age."
depressive disorder,gender,"(1) S. Li, X. Zhang, Y. Cai, L. Zheng, H. Pang, and L. Lou, “Sex difference in incidence of major depressive disorder: an analysis from the Global Burden of Disease Study 2019,” Ann. Gen. Psychiatry, vol. 22, p. 53, 2023.

(2) This global analysis of GBD 2019 data found that females have consistently higher incidence of major depressive disorder than males; in 2019 the female-to-male risk ratio was ~1.60. The largest disparity was in early adolescence (RR ~1.91 at age 10–14), though the sex gap declined slightly from 1990 to 2019."
depressive disorder,e-cigarette usage,"(1) O. H. Obisesan *et al*., “Association between e-cigarette use and depression in the Behavioral Risk Factor Surveillance System, 2016–2017,” *JAMA Netw. Open*, vol. 2, no. 12, e1916800, 2019.  

(2) In a 2016–2017 US BRFSS survey of about 892 thousand adults, e-cigarette users had significantly higher odds of clinical depression diagnosis than never-users; more frequent e-cigarette use was linked with progressively higher depression odds, indicating a positive association ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC6902792/#:~:text=In%20this%20cross,higher%20odds%20of%20reporting%20depression)). Overall, these findings suggest e-cigarette use may therefore increase depressive disorder risk."
diabetes,weight,"(1) E. S. Kim, J. S. Jeong, K. Han, M. K. Kim, S.-H. Lee, Y.-M. Park, K. H. Baek, S. D. Moon, J.-H. Han, K.-H. Song, and H.-S. Kwon, “Impact of weight changes on the incidence of diabetes mellitus: a Korean nationwide cohort study,” Scientific Reports, vol. 8, art. no. 3735, 2018.

(2) For example, a Korean cohort (51,405 adults) found weight loss significantly reduced type 2 diabetes incidence. Even modest BMI reductions (3–6%) in non-obese individuals lowered diabetes risk, whereas weight gain increased risk. The results highlight weight management’s role in diabetes prevention; this confirms weight as a modifiable diabetes risk factor."
diabetes,alcohol consumption,"1. X. He, C. M. Rebholz, N. Daya, M. Lazo, and E. Selvin, “Alcohol consumption and incident diabetes: The Atherosclerosis Risk in Communities (ARIC) Study,” *Diabetologia*, vol. 62, no. 5, pp. 770–778, 2019.  
2. In this 21-year prospective ARIC study of 12,042 adults, moderate alcohol intake was associated with lower diabetes incidence. Women drinking 8–14 drinks/week had significantly reduced risk (HR 0.75); men showed similar inverse trends. Associations were strongest in overweight/obese participants, indicating an inverse relationship."
diabetes,age,"(1) Z. Yan, M. Cai, X. Han, Q. Li, X. Lin, T. Jiang et al., “The Interaction Between Age and Risk Factors for Diabetes and Prediabetes: A Community-Based Cross-Sectional Study,” *Diabetes Metab. Syndr. Obes.*, vol. 16, pp. 85–93, Jan. 2023.  
(2) Yan et al. (2023) conducted a cross-sectional study of 2776 adults (aged 40–80) in Shanghai ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC9843502/#:~:text=and%20prediabetes%20among%20people%20aged,5%7D%20Therefore%2C%20the)). Older age strongly correlated with diabetes: prevalence was 23.9% at ages 60–69 versus 11.1% at ages 40–49. They concluded that advanced age is a major diabetes risk factor and modifies effects of other risk factors."
heart attack,exercising,"(1) Y. Kim, S. Sharp, S. Hwang, and S. H. Jee, “Exercise and incidence of myocardial infarction, stroke, hypertension, type 2 diabetes and site-specific cancers: prospective cohort study of 257,854 adults in South Korea,” *BMJ Open*, vol. 9, no. 3, e025590, 2019.

(2) Prospective cohort (257,854 South Koreans) showed that moderate exercise (3–6 days/week) reduced myocardial infarction risk by ~21% (HR 0.79, 95% CI 0.70–0.90). Effects were similar across BMI, smoking, and alcohol levels. Extremely frequent exercise did not yield further risk reduction. Authors advocate moderate sweat-inducing exercise to prevent heart attacks."
heart attack,age,"(1) R. Megna, M. Petretta, C. Nappi, R. Assante, E. Zampella, V. Gaudieri, et al., “Age-Specific Cardiovascular Risk Factors for Major Adverse Cardiac Events in Patients Undergoing Myocardial Perfusion Imaging,” *J. Cardiovasc. Dev. Dis.*, vol. 10, no. 9, art. 395, 2023.  

(2) In 3667 patients undergoing stress perfusion imaging, risk of MACE rose across age tertiles: 9%, 13%, 18% (p<0.0001). Age significantly predicted coronary events, thus showing older age correlates with higher risk of heart attack. For instance, patients aged >68 had 18% 3-year MACE vs only 9% in those under 59."
heart attack,weight,"(1) I. Janszky *et al*., “Weight and weight change and risk of acute myocardial infarction and heart failure – the HUNT Study,” *J. Intern. Med.*, vol. 280, no. 3, pp. 312–322, 2016.  

(2) Janszky *et al.* (2016) analysed 26,097 Norwegian adults in a prospective cohort study (11.4-year follow-up) and found sustained obesity raises heart attack risk.  Compared to normal BMI (18.5–22.4 kg/m^2), average BMI ≥35 kg/m^2 had a multivariable-adjusted hazard ratio 1.75 for myocardial infarction ([pubmed.ncbi.nlm.nih.gov](https://pubmed.ncbi.nlm.nih.gov/27046302/#:~:text=Results%3A%20The%20association%20of%20average,weight%20showing%20the%20lowest%20risk)).  Weight change patterns (gain/loss) also significantly increased risk ([pubmed.ncbi.nlm.nih.gov](https://pubmed.ncbi.nlm.nih.gov/27046302/#:~:text=became%20weaker%20with%20adjustment%20for,weight%20showing%20the%20lowest%20risk))."
high blood pressure,weight,"(1) R. P. Gelber, J. M. Gaziano, J. E. Manson, J. E. Buring, and H. D. Sesso, “A prospective study of body mass index and the risk of developing hypertension in men,” *Am. J. Hypertens.*, vol. 20, no. 4, pp. 370–377, 2007. 

(2) Gelber et al. (2007) conducted a 14.5-year prospective study of 13,563 healthy men, finding higher baseline BMI increased incidence of hypertension. Even men in the upper “normal” BMI range had significantly greater risk. Each higher BMI quintile correlated with progressively higher hypertension risk, implying weight control can reduce it significantly."
high blood pressure,age,"(1) W. Cheng, Y. Du, Q. Zhang, X. Wang, C. He, J. He, F. Jing, H. Ren, M. Guo, J. Tian, and Z. Xu, “Age-related changes in the risk of high blood pressure,” *Front. Cardiovasc. Med.*, vol. 9, p. 939103, Sep. 2022.  
(2) In a cohort of 71,468 Chinese adults, Cheng et al. (2022) applied statistical models to examine age effects on hypertension risk. They found SBP risk rises linearly from age 35 to 79 and DBP risk peaks midlife. Findings indicate high BP risk increases with age, recommending screening from age 40 onwards."
high blood pressure,age,"1. W. Cheng, Y. Du, Q. Zhang, X. Wang, C. He, J. He, F. Jing, H. Ren, M. Guo, J. Tian, and Z. Xu, “Age-related changes in the risk of high blood pressure,” *Front. Cardiovasc. Med.*, vol. 9, art. no. 939103, Sep. 2022.  
2. Cheng et al. examined age and blood pressure in a large Chinese sample. Systolic blood pressure (SBP) risk rose steadily from age 35–79 years, while diastolic (DBP) risk peaked at ~50–65 years then declined. SBP risk increased linearly in men but nonlinearly in women, underscoring age’s strong influence on hypertension."
high cholesterol,age,"(1) M. Hosseini, M. Yousefifard, M. Baikpour, M. Fayaz, J. Koohpayehzadeh, A. Rafei, K. Etemad, M. M. Gouya, F. Asgari, and K. Mohammad, ""Age, period and cohort analysis of high cholesterol levels in Iranian adults over a 20-year period,"" J. Diabetes Metab. Disord., vol. 18, no. 2, pp. 289-299, 2019, doi:10.1007/s40200-019-00410-5.  
(2) In 110,302 Iranian adults aged 25–69 from five surveys (1990–2011), the prevalence of high cholesterol rose with age up to midlife (ages 45–49 in men) and further after menopause in women, plateauing or decreasing in older age. This confirms age significantly influences high cholesterol risk and suggests age-specific healthcare interventions ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC6915163/#:~:text=Conclusion))."
high cholesterol,height,"M. Y. Lee, G. E. Nam, K. Han, D. H. Kim, Y. H. Kim, K. H. Cho, and Y. G. Park, “Association between height and hypercholesterolemia in adults: a nationwide population-based study in Korea,” *Lipids in Health and Disease*, vol. 18, art. no. 198, 2019.

In a nationwide Korean cross-sectional survey of 13,701 adults, Lee et al. found a significant inverse relationship between height and total cholesterol levels: taller individuals had lower mean cholesterol. Those in the tallest height quartile had approximately 19% lower adjusted odds (OR≈0.81) of hypercholesterolemia than those in the shortest quartile."
high cholesterol,weight,"(1) G. R. Veghari, M. Sedaghat, H. Joshghani, S. Banihashem, P. Moharloei, A. Angizeh, et al., “Obesity and risk of hypercholesterolemia in Iranian northern adults,” ARYA Atheroscler., vol. 9, no. 1, pp. 2–6, 2013.

(2) Cross-sectional study of 1995 Iranian adults found weight significantly increased the risk of high cholesterol. Overweight/obese individuals had significantly greater odds of hypercholesterolemia than normal-weight peers. For example, obese men aged 25–35 had 3.42-fold risk over normal weight. Women 35–45 similarly saw elevated risk; women >45 showed no BMI effect."
kidney disease,age,"1. P. Liu, R. R. Quinn, N. N. Lam, H. Al-Wahsh, M. M. Sood, N. Tangri, M. Tonelli, and P. Ravani, “Progression and regression of chronic kidney disease by age among adults in a population-based cohort in Alberta, Canada,” *JAMA Netw. Open*, vol. 4, no. 6, e2112828, 2021.

2. In a population-based study in Alberta, chronic kidney disease (CKD) incidence sharply increased with age—from 180/100k (<65y) to 7250/100k (≥85y) ([www.ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8188272/#:~:text=years%29,probability%20of%20regression%20was%20similar)). However, older CKD patients had lower progression to kidney failure, as high elderly mortality mitigated progression ([www.ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8188272/#:~:text=for%20age%20%E2%89%A585%20years,for%20%E2%89%A585%20years%3B%20for%20severe)). These results confirm older age as a strong risk factor for kidney disease."
kidney disease,height,"(1) S. Park, S. Lee, Y. Kim, Y. Lee, M. W. Kang, K. Kim, Y. C. Kim, S. S. Han, H. Lee, J. P. Lee, K. W. Joo, C. S. Lim, Y. S. Kim, and D. K. Kim, “Causal linkage between adult height and kidney function: An integrated population-scale observational analysis and Mendelian randomization study,” *PLOS One*, vol. 16, no. 7, Art. no. e0254649, 2021.  
(2) A population-scale analysis by Park et al. (2021) of UK Biobank and CKDGen GWAS data using Mendelian randomization found that greater adult height predicts lower eGFR and higher CKD risk. Genetically predicted taller height was causally linked to worse kidney function, increasing chronic kidney disease incidence independent of BMI ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC8321232/#:~:text=for%20clinicodemographic%2C%20anthropometric%2C%20metabolic%2C%20and,In%20conclusion%2C%20the))."
kidney disease,exercising,"(1) S. Seidu, M. Abdool, A. Almaqhawi, T. J. Wilkinson, S. K. Kunutsor, K. Khunti, and T. Yates, “Physical activity and risk of chronic kidney disease: systematic review and meta-analysis of 12 cohort studies involving 1,281,727 participants,” *European Journal of Epidemiology*, vol. 38, no. 3, pp. 267–280, Jan. 2023.  

(2) In 12 prospective adult cohorts (1.28M participants), those with the highest physical activity had significantly lower CKD risk compared to the least active ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC10033580/#:~:text=analysis.%20The%20pooled%20multivariable,not%20or%20least%20physically%20active)). The pooled risk was 0.91 (95% CI, 0.85–0.97) for most vs least active groups, indicating exercise lowers CKD risk. These findings support exercise in CKD prevention efforts."
skin cancer (except melanoma),age,"(1) S.-P. Sinikumpu, J. Jokelainen, S. Keinänen-Kiukaanniemi, and L. Huilaja, “Skin cancers and their risk factors in older persons: a population-based study,” *BMC Geriatrics*, vol. 22, Art. no. 269, 2022.

(2) In a Finnish cohort of older adults (ages 70–93), Sinikumpu et al. (2022) found that increasing age significantly elevated the incidence of non-melanoma skin cancer ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC8973875/#:~:text=The%20incidence%20of%20melanoma%20and,their%20early%20recognition%20and%20prevention)) ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC8973875/#:~:text=According%20to%20the%20TBSE%20skin,and%20age%20and%20socioeconomic%20status)). Male sex and outdoor work also raised risk; notably, prior skin cancer doubled risk (OR≈2.6). These findings confirm age as a key risk factor."
skin cancer (except melanoma),e-cigarette usage,"(1) K. Dugan, S. Breit, H. Okut, and E. Ablah, “Electronic Cigarette Use and the Diagnosis of Nonmelanoma Skin Cancer Among United States Adults,” *Cureus*, vol. 13, no. 10, p. e19053, Oct. 2021. 

(2) Dugan et al. (2021) used NHIS data (2014–2018) from 155,556 U.S. adults – 3,454 with nonmelanoma skin cancer – to examine e-cigarette use. In a multivariable regression controlling for age, sex, and cigarette smoking, they found no significant association between e-cigarette use and nonmelanoma skin cancer diagnosis among U.S. adults ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC8608672/#:~:text=Males%20and%20those%20of%20older,diagnosis%20of%20nonmelanoma%20skin%20cancer)) ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC8608672/#:~:text=Of%20the%20155%2C556%20total%20respondents%2C,of))."
skin cancer (except melanoma),age,"(1) S. Wu, J. Han, W.-Q. Li, T. Li, and A. A. Qureshi, “Basal-Cell Carcinoma Incidence and Associated Risk Factors in US Women and Men,” *Am. J. Epidemiol.*, vol. 178, no. 6, pp. 890–897, Jul. 2013, doi: 10.1093/aje/kwt073.  
(2) Wu *et al.* (2013) analyzed data from large US cohorts and found incidence of basal cell carcinoma (a non-melanoma skin cancer) increased sharply with age. Age-adjusted incidence rates roughly doubled from mid- to late adulthood, establishing advancing age as a major risk factor for this disease, especially in older adults."
stroke,exercising,"(1) J. R. Sattelmair, T. Kurth, J. E. Buring, and I.-M. Lee, ""Physical Activity and Risk of Stroke in Women,"" *Stroke*, vol. 41, no. 6, pp. 1243–1250, 2010.  
(2) Sattelmair et al. (2010) analyzed ~23,000 women (Women’s Health Study) over 12 years by activity level. They found that higher leisure-time exercise was linked to lower stroke incidence ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC2876221/#:~:text=In%20conclusion%2C%20this%20study%20shows,of%20hemorrhagic%20strokes%20will%20be)). For example, ≥1500 kcal/week of activity reduced stroke risk ~26% vs. no exercise, which suggests exercise is strongly protective against stroke."
stroke,exercising,"W. Jeong, “Effect of regular exercise on stroke prevention: an instrumental variables approach,” *BMC Public Health*, vol. 25, Art. no. 1167, 2025.

The study examines the effect of exercise on stroke among South Korean adults, using proximity to facilities as an instrumental variable. Based on probit models, regular exercise significantly reduces stroke incidence. Exercising individuals had much lower stroke likelihood. These results suggest exercise strongly protects against the overall risk of stroke."
stroke,weight,"U. Mikkola, I. Rissanen, M. Kivelä, H. Rusanen, E. Kajantie, J. Miettunen, and M. Paananen, “Overweight in adolescence and young adulthood in association with adult cerebrovascular disease: The NFBC1966 study,” *Stroke*, vol. 55, no. 7, pp. 1857–1865, 2024.  

This prospective cohort study found that overweight or obesity in adolescence and young adulthood raised adulthood stroke risk, especially ischemic stroke among women. Overweight girls (age 14) had ~2.5× higher ischemic stroke hazard, while obesity at age 31 greatly increased risk. Male associations were weaker. Findings emphasize early weight management."
