disease,factor
BPHIGH6,weight
TOLDHI3,age
CVDINFR4,exercise duration
CVDCRHD4,exercise duration
CVDSTRK3,exercise duration
ASTHMA3,gender
CHCSCNC1,age
CHCOCNC1,age
CHCCOPD3,exercise duration
ADDEPEV3,mental health
CHCKDNY2,age
HAVARTH4,age
DIABETE4,weight
BPHIGH6,age
TOLDHI3,height
CVDINFR4,age
CVDCRHD4,age
CVDSTRK3,exercise duration
ASTHMA3,mental health
CHCSCNC1,e-cigarette usage
CHCOCNC1,personal doctor
CHCCOPD3,age
ADDEPEV3,gender
CHCKDNY2,height
HAVARTH4,difficulty walking
DIABETE4,alcohol consumption
BPHIGH6,age
TOLDHI3,weight
CVDINFR4,weight
CVDCRHD4,muscle exercise frequency
CVDSTRK3,weight
ASTHMA3,height
CHCSCNC1,age
CHCOCNC1,age
CHCCOPD3,exercise frequency
ADDEPEV3,e-cigarette usage
CHCKDNY2,exercise frequency
HAVARTH4,age
DIABETE4,age
